,close
0,118351.0
1,118312.14
2,118312.14
3,118327.16
4,118303.49
5,118316.0
6,118370.99
7,118363.07
8,118336.68
9,118246.59
10,118242.39
11,118319.98
12,118343.07
13,118381.01
14,118348.22
15,118416.49
16,118420.0
17,118437.0
18,118435.85
19,118435.84
20,118389.58
21,118435.68
22,118484.99
23,118472.56
24,118450.01
25,118394.4
26,118454.34
27,118484.99
28,118541.15
29,118543.11
30,118599.97
31,118671.85
32,118780.21
33,118769.37
34,118807.23
35,118861.03
36,118874.54
37,118864.49
38,118724.73
39,118726.54
40,118667.66
41,118660.0
42,118661.75
43,118643.58
44,118628.85
45,118585.0
46,118476.87
47,118446.92
48,118420.01
49,118466.96
50,118499.99
51,118420.69
52,118480.49
53,118517.64
54,118563.3
55,118518.89
56,118483.97
57,118501.2
58,118509.99
59,118538.53
60,118505.57
61,118420.01
62,118283.75
63,118242.4
64,118266.77
65,118319.99
66,118342.1
67,118331.34
68,118286.27
69,118299.84
70,118316.36
71,118322.87
72,118336.83
73,118272.1
74,118284.13
75,118216.0
76,118284.99
77,118337.12
78,118172.2
79,118115.15
80,118141.88
81,117972.18
82,117956.86
83,118041.06
84,118021.88
85,117878.77
86,117912.66
87,117963.66
88,117811.86
89,117866.54
90,117817.47
91,117931.2
92,117809.15
93,117836.01
94,117920.62
95,117982.04
96,118114.86
97,118079.14
98,118070.2
99,118080.0
100,118035.36
101,118077.57
102,118060.51
103,117992.71
104,118077.29
105,118167.26
106,118191.61
107,118089.82
108,117978.55
109,117940.91
110,117875.79
111,117892.1
112,117779.99
113,117778.4
114,117780.01
115,117784.62
116,117884.27
117,117811.0
118,117756.01
119,117728.0
120,117765.21
121,117740.01
122,117743.03
123,117661.25
124,117605.98
125,117577.82
126,117560.44
127,117560.44
128,117584.85
129,117520.01
130,117453.99
131,117412.39
132,117632.77
133,117558.33
134,117542.01
135,117480.0
136,117474.81
137,117537.68
138,117513.28
139,117594.1
140,117580.0
141,117729.63
142,117727.87
143,117694.2
144,117722.17
145,117734.0
146,117824.01
147,117839.71
148,117900.01
149,117930.05
150,117928.49
151,117974.11
152,117850.0
153,117884.96
154,117886.61
155,117932.3
156,117977.8
157,117909.01
158,117884.99
159,117863.07
160,117868.31
161,117839.71
162,117837.93
163,117789.62
164,117826.3
165,117888.0
166,117940.38
167,117898.49
168,117892.91
169,117858.49
170,117820.01
171,117786.05
172,117808.01
173,117767.6
174,117725.28
175,117703.74
176,117719.99
177,117605.36
178,117650.13
179,117658.8
180,117762.04
181,117713.83
182,117690.67
183,117628.41
184,117592.15
185,117626.94
186,117589.41
187,117580.0
188,117525.89
189,117564.01
190,117544.52
191,117498.34
192,117350.0
193,117284.91
194,117299.98
195,117271.29
196,117212.7
197,117194.18
198,117164.9
199,117214.02
200,117358.85
201,117212.74
202,117200.99
203,117187.35
204,117157.23
205,117184.95
206,117123.44
207,117221.98
208,117163.3
209,117159.45
210,117168.64
211,117136.02
212,117136.98
213,117064.64
214,117027.46
215,116880.01
216,116959.99
217,117092.03
218,117034.43
219,116984.6
220,116974.66
221,117056.19
222,117119.97
223,117000.01
224,116948.0
225,116950.01
226,116943.68
227,116995.71
228,116883.1
229,116867.62
230,116848.0
231,116800.01
232,116834.18
233,116927.17
234,116873.93
235,116858.39
236,116796.01
237,116840.0
238,116792.0
239,116785.79
240,116783.99
241,116851.91
242,116860.17
243,116800.17
244,116813.17
245,116718.12
246,116658.75
247,116780.33
248,116691.29
249,116600.0
250,116571.43
251,116578.78
252,116710.85
253,116645.49
254,116640.82
255,116569.99
256,116537.99
257,116524.78
258,116621.42
259,116812.29
260,116747.53
261,116698.01
262,116707.29
263,116677.96
264,116632.27
265,116672.59
266,116616.79
267,116616.8
268,116709.85
269,116765.08
270,116902.07
271,116848.76
272,116673.71
273,116530.96
274,116567.99
275,116620.01
276,116560.0
277,116627.38
278,116547.13
279,116616.37
280,116600.01
281,116530.95
282,116530.95
283,116610.33
284,116568.84
285,116536.49
286,116584.52
287,116520.01
288,116572.1
289,116579.91
290,116603.52
291,116587.93
292,116556.04
293,116500.0
294,116464.23
295,116458.01
296,116485.31
297,116516.96
298,116578.46
299,116514.0
300,116490.0
301,116540.01
302,116533.99
303,116525.19
304,116642.71
305,116750.59
306,116610.01
307,116610.01
308,116598.32
309,116565.77
310,116574.02
311,116574.02
312,116557.22
313,116547.94
314,116547.93
315,116524.01
316,116583.3
317,116605.26
318,116629.8
319,116640.01
320,116630.04
321,116653.41
322,116673.04
323,116673.05
324,116683.6
325,116645.01
326,116667.08
327,116729.32
328,116732.3
329,116783.07
330,116795.07
331,116837.95
332,116876.06
333,116823.37
334,116845.59
335,116746.96
336,116736.54
337,116736.53
338,116736.65
339,116765.07
340,116750.0
341,116708.85
342,116720.0
343,116653.24
344,116736.03
345,116773.67
346,116722.38
347,116731.31
348,116750.41
349,116660.01
350,116620.0
351,116588.16
352,116535.75
353,116472.44
354,116471.14
355,116341.49
356,116274.43
357,116271.96
358,116530.04
359,116536.96
360,116285.98
361,116288.83
362,116324.99
363,116366.48
364,116371.46
365,116336.76
366,116278.0
367,116277.52
368,116203.74
369,116200.01
370,116184.24
371,116116.42
372,116181.13
373,116151.87
374,116294.02
375,116272.28
376,116384.0
377,116349.3
378,116336.02
379,116173.87
380,116258.0
381,116231.85
382,116221.75
383,116164.93
384,116143.41
385,116187.91
386,116129.61
387,116132.55
388,116193.15
389,116290.31
390,116238.28
391,116230.64
392,116264.36
393,116264.36
394,116233.55
395,116173.99
396,116180.0
397,116180.0
398,116138.44
399,116122.0
400,116124.35
401,116085.01
402,116221.41
403,116196.24
404,116214.0
405,116146.78
406,116122.64
407,116111.02
408,116111.01
409,116094.49
410,116194.19
411,116187.4
412,116179.45
413,116256.96
414,116167.8
415,116098.93
416,116123.01
417,116108.31
418,116100.0
419,116010.6
420,116073.08
421,116127.42
422,116154.07
423,116146.93
424,116125.05
425,116102.1
426,116160.84
427,116274.78
428,116243.97
429,116148.02
430,116211.21
431,116224.01
432,116280.64
433,116343.62
434,116362.99
435,116263.98
436,116232.51
437,116262.77
438,116201.53
439,116152.0
440,116191.97
441,116214.81
442,116229.41
443,116243.72
444,116152.14
445,116138.49
446,116089.12
447,116103.11
448,116080.01
449,116040.21
450,116028.0
451,116014.0
452,115893.94
453,115980.03
454,115945.91
455,115877.77
456,115902.94
457,115828.01
458,115838.0
459,115819.2
460,115611.34
461,115562.24
462,115675.59
463,115780.0
464,115743.58
465,115850.28
466,115655.61
467,115735.17
468,115811.83
469,115812.89
470,115803.08
471,115683.24
472,115650.0
473,115682.85
474,115573.46
475,115724.0
476,115745.43
477,115768.86
478,115730.65
479,115764.08
480,115729.0
481,115738.75
482,115706.01
483,115789.04
484,115775.93
485,115788.01
486,115739.62
487,115763.5
488,115787.58
489,115700.01
490,115600.01
491,115507.66
492,115402.0
493,115327.11
494,115313.01
495,115388.01
496,115468.89
497,115629.37
498,115780.0
499,115840.9
500,115760.07
501,115819.98
502,115832.54
503,115864.77
504,115920.0
505,115851.1
506,115829.63
507,115643.97
508,115735.81
509,115800.01
510,115785.33
511,115662.01
512,115614.33
513,115500.01
514,115514.37
515,115489.99
516,115548.87
517,115675.23
518,115663.27
519,115704.88
520,115691.48
521,115574.0
522,115642.35
523,115500.0
524,115517.98
525,115450.01
526,115285.0
527,115352.01
528,115315.01
529,115250.01
530,114954.9
531,114433.61
532,114422.13
533,114761.76
534,115032.01
535,115090.45
536,115301.87
537,115313.72
538,115443.65
539,115427.27
540,115519.99
541,115470.0
542,115549.11
543,115510.67
544,115291.99
545,115296.01
546,115125.01
547,115063.7
548,114990.0
549,114953.04
550,114912.0
551,114794.52
552,114852.94
553,114770.4
554,114649.9
555,114795.74
556,114837.85
557,114783.08
558,114871.01
559,114831.99
560,115120.46
561,115118.0
562,115040.07
563,115043.82
564,115166.0
565,115218.09
566,115143.0
567,115217.95
568,115255.74
569,115190.38
570,115011.45
571,115126.0
572,115107.6
573,115086.5
574,115163.95
575,115227.63
576,115375.0
577,115337.43
578,115310.21
579,115194.55
580,115233.01
581,115270.46
582,115333.72
583,115290.41
584,115296.45
585,115309.78
586,115250.01
587,115185.37
588,115101.66
589,115132.62
590,115060.12
591,115203.13
592,115244.0
593,115407.71
594,115347.28
595,115300.0
596,115267.11
597,115186.01
598,115277.68
599,115331.86
600,115336.25
601,115330.33
602,115326.09
603,115266.16
604,115221.07
605,115291.16
606,115385.8
607,115417.33
608,115433.36
609,115324.89
610,115407.96
611,115558.37
612,115521.5
613,115579.78
614,115600.0
615,115511.61
616,115547.55
617,115610.0
618,115661.16
619,115700.0
620,115748.2
621,115708.16
622,115732.85
623,115775.0
624,115802.11
625,115725.06
626,115706.91
627,115639.91
628,115593.32
629,115619.94
630,115609.35
631,115616.04
632,115760.92
633,115760.0
634,115779.99
635,115807.52
636,115831.28
637,115895.98
638,115957.13
639,115959.36
640,116012.0
641,115966.81
642,115921.23
643,115940.0
644,115900.01
645,115922.75
646,115994.19
647,115994.85
648,115950.01
649,115945.29
650,115900.42
651,115968.04
652,115990.36
653,115969.21
654,115990.36
655,115983.99
656,115968.03
657,115995.55
658,115935.57
659,115966.12
660,115990.15
661,115955.15
662,115818.27
663,115837.0
664,115829.06
665,115800.0
666,115866.0
667,115867.07
668,115882.88
669,115855.5
670,115800.19
671,115794.14
672,115826.9
673,115815.99
674,115816.0
675,115854.0
676,115851.09
677,115910.98
678,115868.99
679,115907.67
680,115963.99
681,115986.42
682,116011.58
683,116048.99
684,115987.41
685,115933.21
686,116044.18
687,116028.0
688,116051.99
689,116020.38
690,116035.61
691,115998.0
692,115990.18
693,115933.2
694,115920.79
695,115932.23
696,115884.07
697,115886.01
698,115914.02
699,115909.65
700,115916.12
701,115884.09
702,115866.14
703,115841.47
704,115842.5
705,115864.63
706,115894.5
707,115840.0
708,115772.55
709,115791.6
710,115712.55
711,115637.64
712,115676.52
713,115668.85
714,115667.99
715,115639.21
716,115626.96
717,115620.86
718,115658.18
719,115648.03
720,115633.99
721,115593.54
722,115536.23
723,115560.0
724,115528.88
725,115515.01
726,115428.0
727,115400.01
728,115386.26
729,115391.64
730,115341.99
731,115268.16
732,115350.48
733,115408.18
734,115409.12
735,115450.01
736,115422.35
737,115390.0
738,115412.07
739,115471.52
740,115455.99
741,115478.01
742,115424.74
743,115454.06
744,115450.27
745,115448.3
746,115492.0
747,115559.88
748,115516.02
749,115526.01
750,115500.0
751,115476.0
752,115495.73
753,115553.65
754,115592.53
755,115627.4
756,115573.31
757,115579.04
758,115598.99
759,115563.09
760,115567.86
761,115586.82
762,115577.37
763,115543.23
764,115582.27
765,115545.99
766,115566.0
767,115485.47
768,115550.79
769,115550.38
770,115592.63
771,115547.64
772,115600.97
773,115647.9
774,115640.21
775,115699.57
776,115695.58
777,115679.89
778,115680.47
779,115695.52
780,115660.0
781,115747.55
782,115774.06
783,115816.01
784,115815.01
785,115840.0
786,115810.14
787,115873.3
788,115857.19
789,115888.44
790,115905.05
791,115907.02
792,115841.99
793,115770.35
794,115847.52
795,115811.65
796,115776.39
797,115627.41
798,115600.01
799,115481.14
800,115540.0
801,115582.18
802,115640.0
803,115564.33
804,115546.19
805,115546.57
806,115578.01
807,115658.19
808,115660.4
809,115588.93
810,115634.0
811,115600.01
812,115622.63
813,115600.0
814,115546.18
815,115525.47
816,115468.2
817,115488.93
818,115606.37
819,115656.23
820,115754.49
821,115703.93
822,115674.94
823,115576.01
824,115510.7
825,115425.79
826,115385.93
827,115478.28
828,115556.93
829,115522.71
830,115555.22
831,115570.01
832,115660.37
833,115620.86
834,115615.75
835,115596.19
836,115570.91
837,115570.91
838,115570.91
839,115568.0
840,115578.02
841,115566.0
842,115541.99
843,115538.2
844,115550.72
845,115427.08
846,115469.71
847,115579.97
848,115642.93
849,115605.17
850,115525.48
851,115576.55
852,115460.3
853,115408.18
854,115424.0
855,115420.01
856,115415.99
857,115497.62
858,115453.25
859,115404.45
860,115368.0
861,115370.53
862,115377.98
863,115396.87
864,115385.69
865,115419.56
866,115403.99
867,115400.0
868,115364.96
869,115258.0
870,115195.43
871,115224.36
872,115284.86
873,115321.62
874,115232.24
875,115189.93
876,115181.41
877,115224.0
878,115215.05
879,115207.55
880,115197.92
881,115197.81
882,115165.03
883,115123.68
884,115084.16
885,115147.48
886,115117.01
887,115165.04
888,115115.55
889,115110.17
890,115114.94
891,115146.7
892,115112.68
893,115190.0
894,115175.29
895,115110.18
896,115135.53
897,115119.88
898,115142.72
899,115156.51
900,115247.47
901,115274.43
902,115294.61
903,115174.55
904,115146.42
905,115104.76
906,115128.0
907,115101.03
908,115106.58
909,115005.01
910,115024.01
911,115013.51
912,115000.01
913,114910.16
914,114974.68
915,114970.82
916,114961.43
917,115050.05
918,115057.73
919,115114.53
920,115026.04
921,115038.72
922,115005.81
923,114912.18
924,114931.06
925,114905.99
926,114863.0
927,114847.99
928,114840.94
929,114840.96
930,114840.96
931,114840.96
932,114784.45
933,114722.35
934,114686.15
935,114699.33
936,114733.6
937,114713.13
938,114700.16
939,114664.21
940,114682.01
941,114677.21
942,114699.99
943,114765.55
944,114772.9
945,114779.91
946,114754.33
947,114770.69
948,114800.0
949,114824.01
950,114833.34
951,114811.46
952,114814.46
953,114758.01
954,114759.99
955,114841.93
956,114940.31
957,114984.99
958,115001.93
959,115081.77
960,114980.01
961,114958.22
962,114877.68
963,114800.01
964,114846.13
965,114585.9
966,114567.68
967,114593.35
968,114770.06
969,114710.02
970,114713.66
971,114668.01
972,114700.75
973,114670.46
974,114670.46
975,114544.01
976,114632.71
977,114558.92
978,114768.69
979,114745.41
980,114622.08
981,114597.15
982,114503.42
983,114446.93
984,114359.85
985,114371.41
986,114362.28
987,114420.01
988,114426.09
989,114430.3
990,114452.46
991,114437.99
992,114438.7
993,114441.99
994,114445.49
995,114144.01
996,114187.66
997,114207.59
998,114550.0
999,114484.0
1000,114437.3
1001,114587.98
1002,114545.29
1003,114552.0
1004,114590.88
1005,114676.18
1006,114710.01
1007,114701.3
1008,114726.07
1009,114726.0
1010,114680.0
1011,114743.37
1012,114759.91
1013,114754.19
1014,114756.02
1015,114686.78
1016,114739.58
1017,114764.93
1018,114689.08
1019,114615.99
1020,114648.42
1021,115042.05
1022,115026.35
1023,114996.69
1024,115099.99
1025,115038.01
1026,115100.0
1027,115068.5
1028,115030.0
1029,114970.7
1030,114971.22
1031,114950.34
1032,114950.0
1033,115040.02
1034,115004.76
1035,115007.87
1036,115038.02
1037,115064.78
1038,115153.22
1039,115159.41
1040,115165.25
1041,115182.01
1042,115240.0
1043,115251.87
1044,115280.0
1045,115243.22
1046,115247.52
1047,115246.66
1048,115261.02
1049,115306.83
1050,115304.51
1051,115309.19
1052,115289.37
1053,115158.62
1054,115165.51
1055,115176.98
1056,115155.89
1057,115185.39
1058,115135.11
1059,115222.92
1060,115194.84
1061,115177.13
1062,115130.0
1063,115146.67
1064,115201.6
1065,115146.78
1066,115121.36
1067,115119.32
1068,115117.99
1069,115072.27
1070,115000.0
1071,115083.56
1072,115083.72
1073,115018.11
1074,115007.75
1075,115035.97
1076,115008.01
1077,115032.01
1078,114968.22
1079,114938.67
1080,114896.47
1081,114888.55
1082,114940.0
1083,115039.2
1084,114982.57
1085,115000.0
1086,115054.37
1087,115044.13
1088,115098.19
1089,115089.55
1090,115117.75
1091,115121.32
1092,115124.13
1093,115126.05
1094,115158.55
1095,115165.99
1096,115113.42
1097,115153.99
1098,115169.3
1099,115203.13
1100,115180.01
1101,115156.0
1102,115154.61
1103,115073.56
1104,115071.74
1105,115062.0
1106,115045.43
1107,115033.02
1108,115010.71
1109,115020.08
1110,114971.44
1111,114997.69
1112,115027.61
1113,115017.94
1114,115004.77
1115,114963.78
1116,114932.77
1117,114910.29
1118,114863.15
1119,114891.09
1120,114925.7
1121,114878.81
1122,114968.71
1123,114935.94
1124,114945.91
1125,114981.16
1126,114997.99
1127,114891.8
1128,114875.35
1129,114815.3
1130,114852.76
1131,114780.0
1132,114800.0
1133,114743.15
1134,114714.0
1135,114740.0
1136,114753.63
1137,114791.24
1138,114740.01
1139,114762.58
1140,114752.06
1141,114701.84
1142,114655.14
1143,114650.89
1144,114647.51
1145,114632.0
1146,114612.86
1147,114662.92
1148,114662.92
1149,114698.45
1150,114695.53
1151,114807.1
1152,114943.18
1153,114965.01
1154,114985.04
1155,114948.86
1156,114965.55
1157,114944.07
1158,114807.81
1159,114836.86
1160,114836.86
1161,114900.0
1162,114892.9
1163,114854.36
1164,114900.29
1165,114931.08
1166,114960.0
1167,115054.03
1168,115057.25
1169,115085.73
1170,115077.24
1171,115091.92
1172,115117.74
1173,115131.61
1174,115148.98
1175,115119.88
1176,115080.36
1177,115105.59
1178,115160.66
1179,115172.87
1180,115180.01
1181,115230.76
1182,115172.85
1183,115190.98
1184,115175.1
1185,115165.82
1186,115210.04
1187,115250.0
1188,115287.06
1189,115304.21
1190,115304.49
1191,115328.0
1192,115327.01
1193,115307.61
1194,115300.02
1195,115283.1
1196,115238.14
1197,115238.15
1198,115288.23
1199,115305.65
1200,115268.96
1201,115286.97
1202,115336.69
1203,115449.79
1204,115388.08
1205,115458.96
1206,115489.97
1207,115444.0
1208,115500.0
1209,115490.13
1210,115418.78
1211,115461.08
1212,115500.01
1213,115490.26
1214,115499.51
1215,115437.34
1216,115430.84
1217,115325.98
1218,115369.4
1219,115305.65
1220,115284.99
1221,115278.82
1222,115311.35
1223,115333.46
1224,115374.04
1225,115277.28
1226,115248.0
1227,115261.8
1228,115310.41
1229,115448.44
1230,115570.36
1231,115651.83
1232,115682.14
1233,115801.54
1234,115602.93
1235,115700.35
1236,115729.99
1237,115674.26
1238,115541.75
1239,115670.66
1240,115738.29
1241,115726.36
1242,115732.85
1243,115747.84
1244,115882.18
1245,115759.99
1246,115834.65
1247,115848.0
1248,115875.67
1249,115809.02
1250,115636.17
1251,115739.34
1252,115780.01
1253,115800.8
1254,115881.95
1255,115823.19
1256,115661.23
1257,115768.25
1258,115819.56
1259,115732.48
1260,115771.45
1261,115766.0
1262,115771.46
1263,115720.69
1264,115770.16
1265,115798.62
1266,115829.25
1267,115862.27
1268,115867.39
1269,115875.37
1270,115950.0
1271,115997.18
1272,115963.92
1273,115911.75
1274,115781.86
1275,115844.85
1276,115899.99
1277,115879.39
1278,115879.12
1279,115827.73
1280,115660.41
1281,115649.28
1282,115584.57
1283,115649.99
1284,115744.15
1285,115650.0
1286,115695.51
1287,115617.87
1288,115695.33
1289,115679.82
1290,115502.99
1291,115448.44
1292,115404.05
1293,115389.06
